player,unit,totalele,totalatk,totalammo,totalcs,totalhitrate,gear1line1,gear1line2,gear1line3,gear2line1,gear2line2,gear2line3,gear3line1,gear3line2,gear3line3,gear4line1,gear4line2,gear4line3,
mooey,redhood,85.81,43.02,80.34,0.00,0.00,StatAtk: 11.11,IncElementDmg: 23.56,StatAmmoLoad: 40.17,StatAtk: 11.11,IncElementDmg: 22.15,blank,StatChargeDamage: 9.70,IncElementDmg: 17.95,StatAtk: 10.40,StatAmmoLoad: 40.17,StatAtk: 10.40,IncElementDmg: 22.15
mooey,laplace,0.00,11.81,0.00,0.00,0.00,StatCritical: 5.71,StatAtk: 11.81,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
mooey,maxwell,16.55,21.36,68.93,4.92,0.00,StatAtk: 6.18,blank,blank,StatAtk: 6.18,blank,blank,StatAmmoLoad: 68.93,StatChargeTime: 4.92,blank,StatAtk: 9.00,IncElementDmg: 16.55,blank
mooey,bsoda,62.26,0.00,68.93,0.00,0.00,IncElementDmg: 24.96,blank,blank,StatCritical: 5.71,StatAmmoLoad: 68.93,blank,IncElementDmg: 15.15,StatChargeDamage: 9.70,StatCriticalDamage: 14.48,IncElementDmg: 22.15,StatCriticalDamage: 11.54,blank
mooey,snowwhite,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
mooey,cindy,99.84,37.39,44.28,4.04,0.00,IncElementDmg: 26.36,StatAtk: 9.70,StatChargeTime: 4.04,StatAtk: 9.70,IncElementDmg: 23.56,blank,StatAtk: 7.59,IncElementDmg: 26.36,StatCriticalDamage: 7.62,StatAtk: 10.40,IncElementDmg: 23.56,StatAmmoLoad: 44.28
mooey,sanis,97.02,42.48,0.00,3.16,6.88,IncElementDmg: 29.16,StatAccuracyCircle: 6.88,blank,IncElementDmg: 24.96,StatAtk: 13.22,blank,StatAtk: 14.63,IncElementDmg: 22.15,StatChargeTime: 3.16,IncElementDmg: 20.75,StatAtk: 14.63,blank
mooey,ein,88.61,20.11,52.50,3.16,7.59,IncElementDmg: 22.15,StatChargeTime: 3.16,blank,StatAtk: 13.93,StatAmmoLoad: 52.50,IncElementDmg: 22.15,StatAccuracyCircle: 7.59,IncElementDmg: 23.56,StatAtk: 6.18,IncElementDmg: 20.75,StatCritical: 7.07,blank
mooey,exia,56.66,6.88,0.00,0.00,0.00,IncElementDmg: 16.55,StatCriticalDamage: 9.58,blank,IncElementDmg: 16.55,StatCriticalDamage: 10.56,blank,StatAtk: 6.88,blank,blank,StatCriticalDamage: 16.44,IncElementDmg: 23.56,StatChargeDamage: 11.81
mooey,xmaiden,90.01,0.00,0.00,8.08,6.18,StatAccuracyCircle: 6.18,IncElementDmg: 22.15,StatChargeTime: 3.75,StatCritical: 2.30,StatChargeDamage: 6.18,IncElementDmg: 22.15,StatDef: 6.88,StatCriticalDamage: 6.64,IncElementDmg: 26.36,StatChargeDamage: 8.29,IncElementDmg: 19.35,StatChargeTime: 4.33
